Color,Description,MinPrice,StyleNumber,ReviewNumber,MaxPrice,Name,Bullets,ImageUrl,Gender,Clothing,Brand,Size,Sport,AverageRating,Url
Black,,69.00,487631,7,69.00,Crescent 2-in-1 Short,"Nylon/Elastane ,WICKING. Pulls sweat away from the body so it can evaporate faster ,QUICK-DRYING. Dries in a flash for the ultimate comfort when breaking a sweat ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,RATED UPF 50+ (Excellent Protection) ,Machine wash and dry. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Powervita™  fabric is buttery soft to the touch with support that feels like a gentle hugFAVE: Inner shorts feel barely there but hug your body supportivelyStash pockets on side hold your essentialsMesh outer layer provides coverage and breathability #487631",https://athleta.gap.com/webcontent/0017/421/642/cn17421642.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.4,https://athleta.gap.com/browse/product.do?pid=487631002&cid=1023333&pcid=1006482&vid=1&grid=pds_58_198_1
Flagstone Grey,,98.00,486200,13,98.00,Altitude Tight in Polartec® Power Stretch®,"Nylon/Polyester/Spandex ,WICKING. Pulls sweat away from the body so it can evaporate faster ,EASY CARE. Just throw in the wash and dry without a second thought ,Machine wash and dry. ,Imported. ,Product Details : FOR: Medium and high impact workouts in cold climatesFEEL: POLARTEC® POWER STRETCH® fabric lends thermal insulation for your coldest trainingFAVE: Comfortable wide waistband with adjustable internal drawcordBack zip pocket secures your essentials #486200",https://athleta.gap.com/webcontent/0017/675/057/cn17675057.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,3.1,https://athleta.gap.com/browse/product.do?pid=486200022&cid=1023333&pcid=1006482&vid=1&grid=pds_45_198_1
Antique Burgundy,,89.00,486431,2,89.00,Studio Barre Sweatshirt Dress 2.0,"TENCEL™ Modal/Spandex ,SUSTAINABLE: TENCEL Modal™ is a fiber that is produced from European beechwood trees harvested from sustainable forests where 99% of the raw material comes from certified or controlled sources ,EASY CARE. Just throw in the wash and dry without a second thought ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,Machine wash and dry. ,Imported. ,Product Details : FOR: To and from yoga practice and studio workoutsFEEL: Nirvana is the softest fabric imaginableFAVE: Versatile neckline can be worn off one or both shouldersThumbholes keep sleeves in place #486431",https://athleta.gap.com/webcontent/0017/335/804/cn17335804.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,5.0,https://athleta.gap.com/browse/product.do?pid=486431012&cid=1023336&pcid=1006482&vid=1&grid=pds_166_198_1
Moonstone,,148.00,500917,12,148.00,Evolution Blazer,"Nylon/Spandex ,WATER-RESISTANT.Sleek fabric fends off rainy day conditions.   a ,WIND-RESISTANT. Stops wind from passing through the fabric, blocking chill ,Primaloft® Gold insulation provides near weightless warmth ,Machine wash and dry. ,Imported. ,Product Details : FOR: Commuting, work and travelFEEL: Smooth-to-the-touch with slight puffiness on the outside, down-like warmth on the inside.FAVE: Lightweight and versatile with easy-access pockets to stash your essentialsSnap button closureStretch woven fabric for added mobility #500917",https://athleta.gap.com/webcontent/0017/713/165/cn17713165.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,3.3,https://athleta.gap.com/browse/product.do?pid=500917012&cid=1063661&pcid=1006482&vid=1&grid=pds_141_198_1
Spring Night,,79.00,502398,26,79.00,Pure Luxe Leopard Print Sweatshirt,"TENCEL™ Modal/Polyester/Lycra ,SUSTAINABLE: TENCEL™ Modal fiber is made from sustainably sourced wood pulp where 99% of the raw material comes from certified or controlled sources ,PACKABLE. Packs down small and comes out smooth as can be ,EASY CARE. Just throw in the wash and dry without a second thought ,Machine wash and dry. ,Imported. ,Product Details : FOR: Relaxed with room to moveFEEL: Nirvana is the softest fabric imaginableFAVE: Banded hem provides a stay-put live-in comfortable fit and on-trend leopard print. #502398",https://athleta.gap.com/webcontent/0017/662/010/cn17662010.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.8,https://athleta.gap.com/browse/product.do?pid=502398002&cid=1144189&pcid=1006482&vid=1&grid=pds_8_198_1
Grey,,78.00,475130,1,78.00,Sport Stripe Scarf,"Nylon/Merino Wool/Cotton ,Hand wash. ,Imported. ,Product Details : FOR: Commuting, work and travelFEEL: Cozy wool blend provides natural insulationFAVE: Bold stripe design keeps it sporty #475130",https://athleta.gap.com/webcontent/0017/342/639/cn17342639.jpg,women,,athleta,One Size,,5.0,https://athleta.gap.com/browse/product.do?pid=475130012&cid=1123437&pcid=1006482&vid=1&grid=pds_190_198_1
Deep Burgundy,,89.00,348748,355,89.00,Flurry Base Layer Turtleneck,"Polyester/Nylon/Spandex ,UNSTINKABLE. Wear it more. Wash it less. ,Natural silver salts give the fabric antimicrobial protection that lasts wash after wash ,SEAMLESS. Beyond-soft, chafe-free fabric stretches with your every move ,WICKING. Pulls sweat away from the body so it can evaporate faster ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,IT FEELS: Lightweight, unspeakably comfortable ,UPF 50+ ,Machine wash and dry. ,Imported. ,Product Details : FOR: Skiing, snowboarding, winter training and adventureFEEL: Chafe-free seamless fabric stretches with every moveFAVE: Comfortable thumbholes help keep your sleeves in placeRib plaiting for textureTurtleneck provides extra coverage from the cold #348748",https://athleta.gap.com/webcontent/0017/661/836/cn17661836.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.8,https://athleta.gap.com/browse/product.do?pid=348748052&cid=1023334&pcid=1006482&vid=1&grid=pds_64_198_1
Antique Burgundy,,74.00,486286,14,74.00,Foresthill Merino Wool Ascent Top,"Wool/Nylon ,EASY CARE. Just throw in the wash and dry without a second thought ,BREATHABLE. Targeted ventilation keeps the air moving ,Machine wash and lay flat to dry. ,Imported. ,Product Details : FOR: Hiking, climbing and exploring-on the trail or offHEEL: Chafe-free seamless merino wool blend stretches with youFAVE: Targeted open-hole mesh provides cooling airflowRuching on side for a feminine detail #486286",https://athleta.gap.com/webcontent/0017/697/659/cn17697659.jpg,women,,athleta,"XS,S,M,L,XL",,4.5,https://athleta.gap.com/browse/product.do?pid=486286052&cid=1023334&pcid=1006482&vid=1&grid=pds_74_198_1
Black,,118.00,486996,11,118.00,Talus Sherpa Half Zip,"Polyester ,PACKABLE. Packs down small and comes out smooth as can be ,EASY CARE. Just throw in the wash and dry without a second thought ,Machine wash and dry. ,Imported. ,Product Details : FOR: Hiking, climbing and exploring-on the trail or offFEEL: Unbelievably cozy sherpa fiber feels soft on the skinFAVE: Zip funnel neck allows for convertibility and temperature controlHalf-zip design for easy on-and-off #486996",https://athleta.gap.com/webcontent/0017/806/435/cn17806435.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.6,https://athleta.gap.com/browse/product.do?pid=486996002&cid=1023334&pcid=1006482&vid=1&grid=pds_123_198_1
Torch Red,,54.00,374207) if needed ,23,54.00,D-DD Contender Bra,"Polyester/Lycra® Spandex ,WICKING. Pulls sweat away from the body so it can evaporate faster ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,RATED UPF 50+ (Excellent Protection) ,Machine wash and line dry. ,Imported. ,Product Details : FOR: Medium impact workouts at the gym, studio or outdoorsFEEL: PowerLift has sleek and supportive compressionFAVE: Targeted mesh ventilation provides airflow where you need itRemovable padsEasy pocket for use of our Empower Mastectomy Bra Insert (#374207) if needed #490471",https://athleta.gap.com/webcontent/0017/808/818/cn17808818.jpg,women,,athleta,"XS,S,M,L,XL",,4.0,https://athleta.gap.com/browse/product.do?pid=490471022&cid=1051661&pcid=1006482&vid=1&grid=pds_160_198_1
Black,,69.00,502384,58,69.00,Retreat Sweatshirt,"TENCEL Modal™ /Cotton/Spandex ,SUSTAINABLE: TENCEL Modal™ is a fiber that is produced from European beechwood trees harvested from sustainable forests where 99% of the raw material comes from certified or controlled sources ,EASY CARE. Just throw in the wash and dry without a second thought ,Machine wash and dry. ,Imported. ,Product Details : FOR: To and from yoga practice and studio workoutsFEEL: Plush Nirvana has a cozy brushed interiorFAVE: Flattering v-neckline #502384",https://athleta.gap.com/webcontent/0017/334/836/cn17334836.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.8,https://athleta.gap.com/browse/product.do?pid=502384012&cid=1144189&pcid=1006482&vid=1&grid=pds_15_198_1
Antique Burgundy,,89.00,500564,19,89.00,Venice Side Stripe Jogger,"Nylon/Lycra ,WICKING. Pulls sweat away from the body so it can evaporate faster ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,RATED UPF 50+ (Excellent Protection) ,Machine wash and dry. ,Imported. ,Product Details : FOR: Commuting, work and travelFEEL: Lightweight Pilayo® fabric is soft and stretchyFAVE: Zip pocket secures your essentials #500564",https://athleta.gap.com/webcontent/0017/727/848/cn17727848.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.9,https://athleta.gap.com/browse/product.do?pid=500564012&cid=1023333&pcid=1006482&vid=1&grid=pds_53_198_1
Black,,98.00,472420,23,98.00,Elation Ultra High Rise Shimmer Tight In Powervita™,"Polyester/Lycra ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,RATED UPF 50+ (Excellent Protection) ,EASY CARE. Just throw in the wash and dry without a second thought ,Machine wash and dry. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Powervita™ fabric is buttery soft with compression that feels like a gentle hugFAVE: Unpinchable three-layer waistband with mesh inner lining streamlines and supportsFewer seams reduce distractions and create a cleaner, sleeker lineShimmering finish flatters your formBreathable CoolMax® crotch gusset #472420",https://athleta.gap.com/webcontent/0017/519/836/cn17519836.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.3,https://athleta.gap.com/browse/product.do?pid=472420002&cid=1140924&pcid=1006482&vid=1&grid=pds_26_198_1
Mountain Olive,,128.00,486693,22,128.00,Tugga Sherpa Jacket,"Polyester ,EASY CARE. Just throw in the wash and dry without a second thought ,Machine wash and dry. ,Imported. ,Product Details : FOR: Hiking, climbing and exploring-on the trail or offFEEL: Unbelievably cozy sherpa fabric feels soft on the skinFAVE: Zip pockets secure your essentialsHigh collar for extra coziness #486693",https://athleta.gap.com/webcontent/0017/759/405/cn17759405.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.7,https://athleta.gap.com/browse/product.do?pid=486693022&cid=1063661&pcid=1006482&vid=1&grid=pds_132_198_1
Arbor Olive,,89.00,501019,45,89.00,Leopard Elation Ultra High Rise Tight in Powervita,"Nylon/Lycra ,WICKING. Pulls sweat away from the body so it can evaporate faster ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,QUICK-DRYING. Dries in a flash for the ultimate comfort when breaking a sweat ,RATED UPF 50+ (Excellent Protection) ,Machine wash and dry. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Powervita™  fabric is buttery soft to the touch with support that feels like a gentle hugFAVE: Three-layer unpinchable waistband smooths and supportsBack drop-in pocket holds your essentials #501019",https://athleta.gap.com/webcontent/0017/778/778/cn17778778.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.8,https://athleta.gap.com/browse/product.do?pid=501019002&cid=1144189&pcid=1006482&vid=1&grid=pds_22_198_1
Antique Burgundy,,89.00,487575,42,89.00,Recover Jogger,"Recycled Polyester/TENCEL™ Modal/Polyester ,WICKING. Pulls sweat away from the body so it can evaporate faster ,SUSTAINABLE: Made from Recycled Poly, a material sourced from post-consumer plastic bottles that helps lessen our impact on the world ,Machine wash and dry. ,Imported. ,Product Details : FOR: To and from yoga practice and studio workoutsFEEL: Brushed, lightweight TekTerryFAVE: Zip pockets secure your essentialsBottom hem cinches for a cozy fit #487575",https://athleta.gap.com/webcontent/0017/662/790/cn17662790.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.7,https://athleta.gap.com/browse/product.do?pid=487575022&cid=1124332&pcid=1006482&vid=1&grid=pds_7_198_1
Olive,,79.00,509995,130,79.00,Studio to Street Camo Sweatshirt,"Tencel Modal/Spandex ,SUSTAINABLE: TENCEL Modal™ is a fiber that is produced from European beechwood trees harvested from sustainable forests where 99% of the raw material comes from certified or controlled sources ,EASY CARE. Just throw in the wash and dry without a second thought ,Machine wash and dry. ,Imported. ,Product Details : FOR: To and from yoga practice and studio workoutsFEEL: Nirvana is the softest fabric imaginableFAVE: Camo print adds an on-trend vibe #509995",https://athleta.gap.com/webcontent/0017/424/397/cn17424397.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.8,https://athleta.gap.com/browse/product.do?pid=509995012&cid=1023334&pcid=1006482&vid=1&grid=pds_121_198_1
Black,,168.00,500937,3,168.00,Wool Cashmere V-Neck Tunic,"Wool/Cashmere ,Hand wash or dry clean. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Wool-cashmere blend is luxuriously soft and cozy on the skinFAVE: Tunic length for cozy coverageRib detailing adds a stylish dimension #500937",https://athleta.gap.com/webcontent/0017/713/653/cn17713653.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.7,https://athleta.gap.com/browse/product.do?pid=500937022&cid=1023334&pcid=1006482&vid=1&grid=pds_101_198_1
Black/ White,,140.00,485962,4,140.00,Kinetic Sneak by Sorel®,"textile/ mesh/ rubber ,Wipe clean. ,Imported. ,Product Details : FOR: Commuting to and working at the office, and travelFEEL: Ultra-lightweight and supportive for everyday wearFAVE: Molded rubber sole provides enhanced tractionEVA footbed provides amazing cushioning #485962",https://athleta.gap.com/webcontent/0017/359/304/cn17359304.jpg,women,,athleta,"6,6.5,7,7.5,8,8.5,9,9.5,10,11",,4.5,https://athleta.gap.com/browse/product.do?pid=485962002&cid=1124332&pcid=1006482&vid=1&grid=pds_3_198_1
Antique Burgundy,,98.00,486200,13,98.00,Altitude Tight in Polartec® Power Stretch®,"Nylon/Polyester/Spandex ,WICKING. Pulls sweat away from the body so it can evaporate faster ,EASY CARE. Just throw in the wash and dry without a second thought ,Machine wash and dry. ,Imported. ,Product Details : FOR: Medium and high impact workouts in cold climatesFEEL: POLARTEC® POWER STRETCH® fabric lends thermal insulation for your coldest trainingFAVE: Comfortable wide waistband with adjustable internal drawcordBack zip pocket secures your essentials #486200",https://athleta.gap.com/webcontent/0017/806/021/cn17806021.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,3.1,https://athleta.gap.com/browse/product.do?pid=486200012&cid=1023333&pcid=1006482&vid=1&grid=pds_46_198_1
Bright White,,44.00,502389,10,44.00,Shanti Crop Core Tank,"Polyester/Spandex ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,QUICK-DRYING. Dries in a flash for the ultimate comfort when breaking a sweat ,WICKING. Pulls sweat away from the body so it can evaporate faster ,Machine wash and dry. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Powervita™  fabric is buttery soft to the touch with support that feels like a gentle hugFAVE: High neckline provides more coverage #502389",https://athleta.gap.com/webcontent/0017/713/395/cn17713395.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,5.0,https://athleta.gap.com/browse/product.do?pid=502389012&cid=1023334&pcid=1006482&vid=1&grid=pds_88_198_1
Antique Burgundy,,118.00,486996,11,118.00,Talus Sherpa Half Zip,"Polyester ,PACKABLE. Packs down small and comes out smooth as can be ,EASY CARE. Just throw in the wash and dry without a second thought ,Machine wash and dry. ,Imported. ,Product Details : FOR: Hiking, climbing and exploring-on the trail or offFEEL: Unbelievably cozy sherpa fiber feels soft on the skinFAVE: Zip funnel neck allows for convertibility and temperature controlHalf-zip design for easy on-and-off #486996",https://athleta.gap.com/webcontent/0017/806/481/cn17806481.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.6,https://athleta.gap.com/browse/product.do?pid=486996012&cid=1023334&pcid=1006482&vid=1&grid=pds_124_198_1
Spring Night Leopard Print,,24.97 - 49.00,374207) if neededFully removable cups ,391,24.97 - 49.00,Breathe In Bra In Powervita™,"Nylon/Lycra ,WICKING. Pulls sweat away from the body so it can evaporate faster ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,QUICK-DRYING. Dries in a flash for the ultimate comfort when breaking a sweat ,RATED UPF 50+ (Excellent Protection) ,FAIR TRADE. Made in a Fair Trade Certified™ Factory ,Machine wash and line dry. ,Imported. ,Product Details : FOR: Designed for low impact workoutsFEEL: Powervita™ fabric is buttery soft with compression that feels like a gentle hugFAVE: Super-strappy design for more mobilityEasy pocket for use of our Empower Mastectomy Bra Insert (#374207) if neededFully removable cups #405755",https://athleta.gap.com/webcontent/0017/778/820/cn17778820.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.8,https://athleta.gap.com/browse/product.do?pid=405755092&cid=1051661&pcid=1006482&vid=1&grid=pds_156_198_1
